OSEBuildingID,PrimaryPropertyType,PropertyName,Address,ZipCode,TaxParcelIdentificationNumber,CouncilDistrictCode,Neighborhood,Latitude,Longitude,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,YearsENERGYSTARCertified,ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),DefaultData,Comments,ComplianceStatus,Outlier,TotalGHGEmissions,GHGEmissionsIntensity,BuildingAge,parking_area_prcnt,largest_property_GFA_prcnt,PropertyGFATotal_log,PropertyGFABuilding(s)_log,LargestPropertyUseTypeGFA_log,TotalGHGEmissions_log,SiteEnergyUse(kBtu)_log
25548,Small- and Mid-Sized Office,New England,319 1st Ave,98104,5247800105,7,downtown,47.60023,-122.33459,1.0,4.0,33300,0,33300,Office,26639.0,Restaurant,2820.0,Retail Store,2377.0,,67.31799163179916,38.70000076,40.70000076,108.0999985,109.8000031,1287497.375,1355968.5,0.0,1075503.0,211994.0,False,,Compliant,,18.76,0.56,123,0.0,0.7999699699699699,10.413312675968536,10.413312675968536,10.190131586412237,2.9317269435780786,14.068210872682998
25554,Other,Alaskan Way,304 Alaskan Way S,98104,5247800140,7,downtown,47.59976,-122.33514,1.0,3.0,22200,0,22200,Other,22200.0,,,,,,62.36363636363637,8.5,10.39999962,15.0,17.5,188745.7031,231847.0938,0.0,64453.0,124293.0,False,,Compliant,,7.05,0.32,123,0.0,1.0,10.00784756786037,10.00784756786037,10.00784756786037,1.9530276168241774,12.148155901819031
25563,Warehouse,Nautical Landing,2500 Westlake Ave N,98109,4088804350,7,magnolia / queen anne,47.64306,-122.34219,1.0,2.0,29498,0,29498,Non-Refrigerated Warehouse,19749.0,Office,9148.0,,,,54.54255319148936,130.3999939,136.0,372.2999878,378.1000061,3768900.5,3930355.5,0.0,3253683.0,515217.0,False,,Compliant,,50.05,1.7,55,0.0,0.6695030171537053,10.292077743419448,10.292077743419448,9.890858136135986,3.9130225057612296,15.142293872325313
25567,Warehouse,1109 N NORTHLAKE WAY,1109 N NORTHLAKE WAY,98103,4088804520,4,lake union,47.64793,-122.34358,1.0,1.0,23050,0,23050,Non-Refrigerated Warehouse,23050.0,,,,,,27.0,20.20000076,21.10000038,63.59999847,66.30000305,466672.6875,486485.3125,0.0,466673.0,0.0,False,,Compliant,,3.25,0.14,85,0.0,1.0,10.045421048424794,10.045421048424794,10.045421048424794,1.1786549963416462,13.053383407619865
25568,Small- and Mid-Sized Office,Talon Northlake LLC,1341 N Northlake Way,98103,4088804565,4,lake union,47.64747,-122.34086,1.0,4.0,48350,0,48350,Office,48350.0,,,,,,45.0,72.19999695,74.69999695,226.6000061,234.6000061,3168131.0,3280955.5,0.0,3168131.0,0.0,False,,Compliant,,22.09,0.46,15,0.0,1.0,10.78622150088144,10.78622150088144,10.78622150088144,3.095125017432026,14.968652382071625
25572,Retail Store,PETCO,809 NE 45 STREET,98105,4092300005,4,northeast,47.66097,-122.3192,1.0,1.0,46059,0,46059,Retail Store,46000.0,,,,,,82.0,34.40000153,36.0,98.59999847,100.1999969,1582655.875,1656820.0,0.0,1374074.0,208582.0,False,,Compliant,,20.66,0.45,93,0.0,0.9987190342821164,10.73767846232701,10.73767846232701,10.736396675471232,3.0281994636914926,14.27461492735985
25635,Medical Office,Seattle Healing Arts,6300 9th Ave NE,98115,9221400445,4,northeast,47.67437,-122.3181,1.0,2.0,23595,0,23595,Medical Office,23595.0,,,,,,72.0,34.59999847,34.90000153,107.1999969,107.5,817409.625,823716.875,0.0,799401.0,18009.0,False,,Compliant,,6.53,0.28,53,0.0,1.0,10.068790104160488,10.068790104160488,10.068790104160488,1.8764069432883397,13.613895625183677
25657,Small- and Mid-Sized Office,Herman Blumenthal Building,122 South Jackson,98104,5247800350,7,downtown,47.59938,-122.33328,1.0,3.0,28142,0,28142,Office,28142.0,,,,,,96.0,30.10000038,32.40000153,64.19999695,66.19999695,847097.8125,911154.125,340615.5938,414101.0,92381.0,False,,Compliant,,34.08,1.21,123,0.0,1.0,10.2450184013482,10.2450184013482,10.2450184013482,3.528710701961115,13.64957144807656
25658,Small- and Mid-Sized Office,The Occidental Building,311 Occidental Ave. S.,98104,5247800355,7,downtown,47.59954,-122.33327,1.0,3.0,28760,0,28760,Office,12314.0,Retail Store,6020.0,Non-Refrigerated Warehouse,6000.0,,67.31799163179916,107.5,112.0,165.1999969,170.6000061,2615973.5,2726126.75,500752.8125,572200.0,1543021.0,False,,Compliant,,124.59,4.33,123,0.0,0.4281641168289291,10.266740811834984,10.266740811834984,9.418492105471156,4.825028346310772,14.7771468615385
25659,Small- and Mid-Sized Office,Union Trust Building,119 S. Main Street,98104,5247800360,7,downtown,47.59979,-122.33318,1.0,4.0,39030,0,39030,Office,32001.0,Retail Store,6685.0,,,,99.0,18.39999962,20.0,47.70000076,49.29999924,713326.875,773324.6875,0.0,524342.0,188985.0,False,,Compliant,,13.69,0.35,121,0.0,0.8199077632590315,10.57208586017466,10.57208586017466,10.373522431293592,2.6166656393003573,13.477695044550622
